time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0
2.825e-07,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
2.875e-07,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1
2.925e-07,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1
2.9749999999999996e-07,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1
3.0249999999999996e-07,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
3.0749999999999997e-07,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1
3.1249999999999997e-07,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1
3.175e-07,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1
3.225e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.275e-07,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3.325e-07,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3.375e-07,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
3.425e-07,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3.475e-07,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
3.5249999999999996e-07,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
3.5749999999999997e-07,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0
3.6249999999999997e-07,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3.675e-07,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
3.725e-07,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
3.775e-07,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
3.825e-07,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
3.875e-07,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
3.925e-07,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0
3.975e-07,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0
4.0249999999999996e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4.0749999999999996e-07,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
4.1249999999999997e-07,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
4.1749999999999997e-07,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1
4.225e-07,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
4.275e-07,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
4.325e-07,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1
4.375e-07,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1
4.425e-07,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
4.475e-07,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1
4.525e-07,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1
4.5749999999999996e-07,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1
4.6249999999999997e-07,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1
4.6749999999999997e-07,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1
4.725e-07,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1
4.775e-07,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1
4.825e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4.875e-07,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
4.924999999999999e-07,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
4.975e-07,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
5.025e-07,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
5.075e-07,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0
5.125e-07,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0
5.175e-07,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0
5.225e-07,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
5.275e-07,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
5.325e-07,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0
5.374999999999999e-07,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0
5.425e-07,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0
5.474999999999999e-07,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0
5.525e-07,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0
5.575e-07,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
5.625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
5.675e-07,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
5.725e-07,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1
5.775e-07,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1
5.825e-07,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1
5.875e-07,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
5.924999999999999e-07,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1
5.975e-07,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1
6.025e-07,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1
6.075e-07,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
6.125e-07,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1
6.175e-07,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1
6.225e-07,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1
6.275e-07,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1
6.325e-07,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1
6.375e-07,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1
6.425e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.474999999999999e-07,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
6.525e-07,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6.575e-07,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
6.625e-07,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
6.675e-07,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
6.725e-07,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
6.775e-07,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
6.825e-07,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
