time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0,A_val,B_val,Z_val,Expected,Pass
3.925e-07,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,14,4,56,56,True
3.975e-07,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,15,4,60,60,True
4.025e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,True
4.075e-07,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,5,5,5,True
4.125e-07,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,5,10,10,True
4.175e-07,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,3,5,15,15,True
4.225e-07,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,4,5,20,20,True
4.275e-07,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,5,5,25,25,True
4.325e-07,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,6,5,30,30,True
4.375e-07,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,7,5,35,35,True
4.425e-07,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,8,5,40,40,True
4.475e-07,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,9,5,45,45,True
4.525e-07,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,10,5,50,50,True
4.575e-07,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,11,5,55,55,True
4.625e-07,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,12,5,60,60,True
4.675e-07,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,13,5,65,65,True
4.725e-07,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,14,5,70,70,True
4.775e-07,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,15,5,75,75,True
4.825e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,True
4.875e-07,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,6,6,6,True
4.924999999999999e-07,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,2,6,12,12,True
4.975e-07,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,3,6,18,18,True
5.025e-07,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,4,6,24,24,True
5.075e-07,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,5,6,30,30,True
5.125e-07,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,6,6,36,36,True
5.175e-07,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,7,6,42,42,True
5.225e-07,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,8,6,48,48,True
5.275e-07,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,9,6,54,54,True
5.325e-07,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,10,6,60,60,True
5.374999999999999e-07,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,11,6,66,66,True
5.425e-07,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,12,6,72,72,True
5.474999999999999e-07,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,13,6,78,78,True
5.525e-07,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,14,6,84,84,True
5.575e-07,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,15,6,90,90,True
5.625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,0,0,True
5.675e-07,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,7,7,7,True
5.725e-07,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,2,7,14,14,True
5.775e-07,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,3,7,21,21,True
5.825e-07,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,4,7,28,28,True
5.875e-07,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,5,7,35,35,True
5.924999999999999e-07,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,6,7,42,42,True
5.975e-07,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,7,7,49,49,True
6.025e-07,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,8,7,56,56,True
6.075e-07,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,9,7,63,63,True
6.125e-07,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,10,7,70,70,True
6.175e-07,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,11,7,77,77,True
6.225e-07,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,12,7,84,84,True
6.275e-07,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,13,7,91,91,True
6.325e-07,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,14,7,98,98,True
6.375e-07,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,15,7,105,105,True
6.425e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,True
6.474999999999999e-07,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,8,8,8,True
6.525e-07,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,8,16,16,True
6.575e-07,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,3,8,24,24,True
6.625e-07,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,8,32,32,True
6.675e-07,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,5,8,40,40,True
6.725e-07,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,6,8,48,48,True
6.775e-07,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,7,8,56,56,True
6.825e-07,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,8,64,64,True
6.875e-07,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,9,8,72,72,True
6.925e-07,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,10,8,80,80,True
6.975e-07,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,11,8,88,88,True
7.024999999999999e-07,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,12,8,96,96,True
7.075e-07,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,13,8,104,104,True
7.125e-07,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,14,8,112,112,True
7.175e-07,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,15,8,120,120,True
7.225e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,True
7.275e-07,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,9,9,9,True
7.325e-07,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,2,9,18,18,True
7.375e-07,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,3,9,27,27,True
7.425e-07,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,4,9,36,36,True
7.475e-07,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,5,9,45,45,True
7.525e-07,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,6,9,54,54,True
7.575e-07,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,7,9,63,63,True
7.625e-07,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,9,72,72,True
7.675e-07,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,9,9,81,81,True
7.725e-07,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,10,9,90,90,True
